,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_lr_schedule,params_max_grad_norm,params_n_steps,params_net_arch,params_normalize_advantage,params_ortho_init,params_sde_net_arch,params_use_rms_prop,params_vf_coef,state
0,0,14304.352069,2021-08-22 21:42:38.445897,2021-08-22 21:54:21.452049,0 days 00:11:43.006152,leaky_relu,0.002690869906120475,0.98,0.98,0.009256181227390185,-1.7085456695403547,constant,0.9,10,small,False,True,small,True,0.6136509565124338,COMPLETE
1,1,12229.111778,2021-08-22 21:54:21.457054,2021-08-22 22:01:09.055636,0 days 00:06:47.598582,tanh,1.899924614665952e-05,0.99,0.95,0.0023068934862633264,-1.8040449466476316,linear,0.3,5,3small,False,False,tiny,False,0.40005375595159487,COMPLETE
2,2,12994.424282,2021-08-22 22:01:09.057635,2021-08-22 22:04:25.080067,0 days 00:03:16.022432,elu,0.09257262255744246,0.9,0.98,0.07093625539194764,-0.660609758745355,linear,0.9,1,3small,False,False,small,True,0.8682351054624342,COMPLETE
3,3,11367.847422,2021-08-22 22:04:25.082069,2021-08-22 22:31:45.286485,0 days 00:27:20.204416,elu,0.0005216203767696812,1.0,0.95,2.1566678760474157e-05,-2.010527469647007,constant,5.0,20,small,True,True,,False,0.4573853773544264,COMPLETE
4,4,15691.480610000002,2021-08-22 22:31:45.290486,2021-08-22 22:44:57.122735,0 days 00:13:11.832249,tanh,2.6715758778236265e-06,0.8,0.99,1.6077929434157708e-05,-2.902807685490175,constant,0.3,10,medium,False,True,small,True,0.10371180004983482,COMPLETE
5,5,15498.238369000002,2021-08-22 22:44:57.127244,2021-08-22 22:56:00.827193,0 days 00:11:03.699949,leaky_relu,2.1526148763015178e-07,0.8,0.9999,7.644743975847644e-05,0.4448272650147054,linear,1.0,10,3small,False,False,,False,0.013400967393694785,COMPLETE
6,6,13003.771638,2021-08-22 22:56:00.829154,2021-08-22 23:13:49.227575,0 days 00:17:48.398421,relu,0.015345037568320076,0.98,0.9,0.0007008097857465152,-3.7994485494398686,linear,5.0,20,3medium,False,True,small,False,0.7030107057809766,COMPLETE
7,7,13671.349748000002,2021-08-22 23:13:49.229577,2021-08-22 23:22:09.534337,0 days 00:08:20.304760,leaky_relu,0.0013604878338019228,0.8,0.995,0.06996241114927175,0.9988005084963723,constant,0.3,10,small,True,False,small,False,0.001703261653490551,COMPLETE
8,8,13685.996958,2021-08-22 23:22:09.534337,2021-08-22 23:30:06.158924,0 days 00:07:56.624587,elu,0.010369968666563334,0.92,0.9999,0.005197202959152731,-1.5583220053588511,linear,0.8,10,medium,True,False,,False,0.4142420946513523,COMPLETE
9,9,13210.577889000002,2021-08-22 23:30:06.161924,2021-08-22 23:34:16.169472,0 days 00:04:10.007548,relu,6.441719029231331e-07,0.8,0.99,0.3028019643314247,-2.789713352231674,constant,0.3,5,medium,False,True,,False,0.49320527240826295,COMPLETE
10,10,13442.56722,2021-08-22 23:34:16.171439,2021-08-22 23:35:59.588117,0 days 00:01:43.416678,tanh,1.0389447857990781e-05,0.95,0.99,0.0001823709250117315,-3.992207477401647,constant,0.5,1,medium,True,True,,True,0.19156650060616004,PRUNED
11,11,13009.343437,2021-08-22 23:35:59.590110,2021-08-22 23:42:21.725733,0 days 00:06:22.135623,tanh,2.1635199788031086e-08,0.8,0.9999,1.0055089425492408e-05,0.2305981028807408,linear,1.0,10,3small,False,False,,True,0.018955737658692212,PRUNED
12,12,10760.621088,2021-08-22 23:42:21.727602,2021-08-22 23:49:24.137884,0 days 00:07:02.410282,leaky_relu,4.063985352120062e-07,0.8,0.999,9.332417507212616e-05,-2.9110351227044178,linear,0.6,10,3medium,False,True,,True,0.19389061177414865,PRUNED
13,13,14756.950516,2021-08-22 23:49:24.138883,2021-08-22 23:58:58.130005,0 days 00:09:33.991122,tanh,5.234792318918032e-07,0.8,0.9999,7.520646853647143e-05,-0.6834517015995444,constant,0.7,10,medium,False,False,,True,0.20012901449082843,COMPLETE
14,14,11163.457708,2021-08-22 23:58:58.133006,2021-08-23 00:05:01.347329,0 days 00:06:03.214323,leaky_relu,1.1097406290252196e-08,0.9,0.99,0.0004321654144558849,-0.6856598356122541,linear,1.0,10,3small,False,True,,False,0.14107499088983705,PRUNED
15,15,11923.108872,2021-08-23 00:05:01.348333,2021-08-23 00:11:23.337589,0 days 00:06:21.989256,tanh,3.305751003822147e-06,1.0,0.995,2.811001893307002e-05,-2.7785484112856786,constant,2.0,10,medium,False,False,,True,0.30476943588477684,PRUNED
16,16,15013.373765,2021-08-23 00:11:23.339586,2021-08-23 00:16:33.992038,0 days 00:05:10.652452,leaky_relu,0.00014616226218593968,0.95,0.999,0.0009503516619280784,0.9811727744413838,linear,1.0,5,3small,False,True,,False,0.9927719613723973,COMPLETE
17,17,13266.271499,2021-08-23 00:16:33.992038,2021-08-23 00:25:53.363612,0 days 00:09:19.371574,relu,7.435772111955906e-08,0.92,0.9,4.58235610224926e-05,0.12618667129803107,constant,0.7,20,3medium,False,False,,True,0.1062696711832537,PRUNED
18,18,13895.249979,2021-08-23 00:25:53.365610,2021-08-23 00:27:20.564972,0 days 00:01:27.199362,tanh,2.9320241290880747e-06,0.99,0.9999,1.0171735970832966e-05,-3.3487921900310087,constant,2.0,1,medium,True,True,,False,0.2838059773074105,PRUNED
19,19,12061.962839,2021-08-23 00:27:20.564972,2021-08-23 00:32:33.642646,0 days 00:05:13.077674,leaky_relu,9.75194832826624e-08,0.8,0.99,0.00020972458095971623,-2.357784042627226,linear,0.6,10,3small,False,False,,True,0.07083221060201092,PRUNED
20,20,9951.590303,2021-08-23 00:32:33.643652,2021-08-23 00:37:18.120013,0 days 00:04:44.476361,tanh,3.5398815463189472e-06,0.8,0.9999,0.014617191510345417,-0.9575506539410478,linear,0.8,10,medium,False,True,,False,0.310403489487095,PRUNED
